cell_id,ctr_x,ctr_y,n_dolmen,n_sites,n_extant,landform_mode,dist_coast_km,elev_m,bathy_grad,curr_p90,curr_mean
1859,1012500.0,1677500.0,0.0,0.0,0.0,,13.611383385006318,833.3893432617188,107.7582247254447,,
1860,1012500.0,1682500.0,0.0,0.0,0.0,,17.99431631594127,300.6448059082031,172.59775619607072,,
1861,1012500.0,1687500.0,0.0,0.0,0.0,,22.63451085627154,80.8975830078125,142.44439152821687,,
1862,1012500.0,1692500.0,0.0,0.0,0.0,,27.401582869009562,180.35494995117188,140.09012998913573,,
1863,1012500.0,1697500.0,0.0,0.0,0.0,,32.23929908902677,504.3280029296875,255.35534803634607,,
1864,1012500.0,1702500.0,0.0,0.0,0.0,,37.120049404280785,1173.05419921875,128.07095691619367,,
1865,1012500.0,1707500.0,0.0,0.0,0.0,,42.02884402170455,668.2769775390625,153.11265643379153,,
1866,1012500.0,1712500.0,0.0,0.0,0.0,,46.95688865145661,601.513671875,144.01058034868453,,
1867,1012500.0,1717500.0,0.0,0.0,0.0,,51.8986999244665,707.6589965820312,217.65511455778008,,
1868,1012500.0,1722500.0,0.0,0.0,0.0,,56.85068791030011,552.0322875976562,114.86690755337284,,
1869,1012500.0,1727500.0,0.0,0.0,0.0,,61.810406711967744,324.00177001953125,58.27188289730452,,
1870,1012500.0,1732500.0,0.0,0.0,0.0,,66.77613375992497,418.24822998046875,94.23170074417774,,
1871,1012500.0,1737500.0,0.0,0.0,0.0,,71.7466215368216,737.0304565429688,159.92143716045211,,
1872,1012500.0,1742500.0,0.0,0.0,0.0,,76.17100027377919,844.942138671875,71.87037812567291,,
1873,1012500.0,1747500.0,0.0,0.0,0.0,,74.74629662509228,457.8135070800781,63.73562740569296,,
1874,1012500.0,1752500.0,0.0,0.0,0.0,,73.63420696676579,697.7428588867188,146.0957509962338,,
1875,1012500.0,1757500.0,0.0,0.0,0.0,,72.84904949333736,454.01800537109375,50.32013356349601,,
1876,1012500.0,1762500.0,0.0,0.0,0.0,,72.40146123208379,502.80633544921875,90.22511362838765,,
1877,1012500.0,1767500.0,0.0,0.0,0.0,,71.18674500400036,704.4694213867188,142.0226985726373,,
1878,1012500.0,1772500.0,0.0,0.0,0.0,,70.22590658032927,462.53668212890625,45.35063914069614,,
1879,1012500.0,1777500.0,0.0,0.0,0.0,,69.59894727759806,273.46563720703125,19.35300267931423,,
1880,1012500.0,1782500.0,0.0,0.0,0.0,,69.22572789042351,243.92530822753906,47.723515111241866,,
1881,1012500.0,1787500.0,0.0,0.0,0.0,,69.21210214177451,356.00579833984375,127.04094598133415,,
1882,1012500.0,1792500.0,0.0,0.0,0.0,,69.55881514091433,129.6335906982422,26.94581945133111,,
1883,1012500.0,1797500.0,0.0,0.0,0.0,,70.26053262488378,241.41122436523438,87.36536250889016,,
1884,1012500.0,1802500.0,0.0,0.0,0.0,,71.306774752872,141.38839721679688,71.51162176138128,,
1885,1012500.0,1807500.0,0.0,0.0,0.0,,72.6826651037322,123.08293151855469,13.30640591472256,,
1886,1012500.0,1812500.0,0.0,0.0,0.0,,74.36990982585468,247.3302459716797,131.58708469251883,,
1887,1012500.0,1817500.0,0.0,0.0,0.0,,76.34786944263881,117.13732147216797,16.80574602370066,,
1888,1012500.0,1822500.0,0.0,0.0,0.0,,78.59459809271047,219.337890625,122.57684851166495,,
