cell_id,ctr_x,ctr_y,n_dolmen,n_sites,n_extant,landform_mode,dist_coast_km,elev_m,bathy_grad,curr_p90,curr_mean,marine_dist_km,marine_curr_p90,marine_curr_mean,marine_depth,marine_grad,risk_score,landform_g,y,dist_coast_km_z,elev_m_z,marine_curr_p90_z,marine_grad_z,marine_depth_z
1825,1007500.0,1777500.0,0.0,0.0,0.0,,64.62742526563753,201.53884887695312,24.490630734800153,,,92.22175491399462,0.0841658413410187,0.0433507,1.0,0.5590169943749475,0.8786460333366863,기타,0,1.6125194004840895,0.08999497165464491,1.1540474000261172,-0.5586620815144415,-1.0868822
1826,1007500.0,1782500.0,0.0,0.0,0.0,,64.22979397363024,330.4401550292969,46.13799077473909,,,92.17430485648109,0.07296976000070575,0.037741095,3.5,5.960461251322674,-0.05204332596848791,기타,0,1.5960842261428685,0.7034085672635735,0.7700163664770241,0.5204994489293155,-0.8165987
1827,1007500.0,1787500.0,0.0,0.0,0.0,,64.215108150804,158.73666381835938,3.900093981146194,,,92.13025074179986,0.034623841196298626,0.018574638,5.0,1.5662455107677085,-0.09089997335764959,기타,0,1.5954772214544923,-0.11369142238142795,-0.545267292442378,-0.35742659419845607,-0.6544286
1828,1007500.0,1792500.0,0.0,0.0,0.0,,64.58865067288463,319.9915771484375,57.56520931064617,,,92.27039664726924,0.034623841196298626,0.018574638,5.0,1.5662455107677085,-0.09089997335764959,기타,0,1.6109167419290076,0.6536860321069247,-0.545267292442378,-0.35742659419845607,-0.6544286
1829,1007500.0,1797500.0,0.0,0.0,0.0,,65.34376386977097,393.83770751953125,130.61261279925424,,,92.68046770027586,0.034623841196298626,0.018574638,5.0,1.5662455107677085,-0.09089997335764959,기타,0,1.642127608094833,1.0051038858500203,-0.545267292442378,-0.35742659419845607,-0.6544286
1830,1007500.0,1802500.0,1.0,1.0,0.0,,66.46744434377518,466.3255920410156,54.35614412488188,,,93.3569070226695,0.034623841196298626,0.018574638,5.0,1.5662455107677085,-0.09089997335764959,기타,1,1.6885723544347326,1.3500581396871143,-0.545267292442378,-0.35742659419845607,-0.6544286
1831,1007500.0,1807500.0,0.0,0.0,0.0,,67.94140739282133,136.33551025390625,44.46800574032571,,,94.29398222864934,0.034623841196298626,0.018574638,5.0,1.5662455107677085,-0.09089997335764959,기타,0,1.749495224869052,-0.22029369480152872,-0.545267292442378,-0.35742659419845607,-0.6544286
1832,1007500.0,1812500.0,0.0,0.0,0.0,,69.74344786029569,123.58767700195312,26.346630442823436,,,95.48402002552217,0.034623841196298626,0.018574638,5.0,1.5662455107677085,-0.09089997335764959,기타,0,1.8239784203524032,-0.2809578918117733,-0.545267292442378,-0.35742659419845607,-0.6544286
1833,1007500.0,1817500.0,0.0,0.0,0.0,,71.84888447544783,110.96028900146484,29.22897438362493,,,96.91770259313724,0.034623841196298626,0.018574638,5.0,1.5662455107677085,-0.09089997335764959,기타,0,1.9110017973601194,-0.34104891577218266,-0.545267292442378,-0.35742659419845607,-0.6544286
1854,1012500.0,1652500.0,0.0,0.0,0.0,,3.3295479541666326,0.29486215114593506,4.845801793084499,,,24.732369019644448,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,-0.9210872864421746,-0.8676818834290173,-0.7476868783715466,0.22384278363579274,1.5618961
1855,1012500.0,1657500.0,0.0,0.0,0.0,,0.847461338520099,16.786579132080078,55.939262151703346,,,28.273388108947128,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,-1.0236786243930474,-0.7892013488789359,-0.7476868783715466,0.22384278363579274,1.5618961
1856,1012500.0,1662500.0,0.0,0.0,0.0,,3.241190753939067,213.76205444335938,84.00559527035381,,,32.20370899437575,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,-0.924739327967155,0.1481625783311425,-0.7476868783715466,0.22384278363579274,1.5618961
1857,1012500.0,1667500.0,0.0,0.0,0.0,,7.297674592751483,338.70587158203125,109.45863847406562,,,36.397434948492204,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,-0.7570739041352568,0.7427433347864458,-0.7476868783715466,0.22384278363579274,1.5618961
1858,1012500.0,1672500.0,0.0,0.0,0.0,,9.835857645833535,381.24346923828125,172.8549988776616,,,40.77336960155497,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,-0.6521639490440682,0.9451706142745816,-0.7476868783715466,0.22384278363579274,1.5618961
1859,1012500.0,1677500.0,0.0,0.0,0.0,,13.611383385006318,833.3893432617188,107.7582247254447,,,45.278715380411256,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,-0.49611128166009777,3.096835594276148,-0.7476868783715466,0.22384278363579274,1.5618961
1860,1012500.0,1682500.0,0.0,0.0,0.0,,17.99431631594127,300.6448059082031,172.59775619607072,,,49.87841681865589,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,-0.31495283589956125,0.5616189083194455,-0.7476868783715466,0.22384278363579274,1.5618961
1861,1012500.0,1687500.0,0.0,0.0,0.0,,22.63451085627154,80.8975830078125,142.44439152821687,,,54.54861008468374,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,-0.12316107357993046,-0.48411086857742247,-0.7476868783715466,0.22384278363579274,1.5618961
